date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:08:07	29/29	U-----	200	untouched ('OK')	text/plain	date:Sat,%2028%20Apr%202018%2020:44:44%20GMT	http://localhost/robots.txt		(from )
18:08:07	13817/13817	U--MC-	200	updated ('OK')	text/html	date:Wed,%2002%20May%202018%2016:08:04%20GMT	http://localhost/	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/index.html	(from )
18:08:11	3279/3279	U-----	200	untouched ('')	application/rss+xml	etag:%22800aa31c15cf30f28b640933b148400c%22	http://localhost/feed/	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/feed/index.html	(from http://localhost/)
18:08:11	771/771	U-----	200	untouched ('')	application/rss+xml	etag:%22e800cda6626d21de07ab0b1c44436c95%22	http://localhost/comments/feed/	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/comments/feed/index.html	(from http://localhost/)
18:08:12	74864/74864	U-----	200	untouched ('OK')	text/css	etag:%2212470-568b75f0996e3%22	http://localhost/wp-content/themes/responsive/core/css/style.css?ver=3.11	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/themes/responsive/core/css/stylea237.css	(from http://localhost/)
18:08:12	6975/6975	U-----	200	untouched ('OK')	text/css	etag:%221b3f-568b75f09527d%22	http://localhost/wp-content/themes/responsive/core/css/responsive.css?ver=3.11	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/themes/responsive/core/css/responsivea237.css	(from http://localhost/)
18:08:12	45/45	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2002%20May%202018%2016:08:07%20GMT	http://localhost/xmlrpc.php	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/xmlrpc.php	(from http://localhost/)
18:08:12	30982/30982	U-----	200	untouched ('OK')	text/css	etag:%227906-568b75f06ead8%22	http://localhost/wp-content/themes/responsive/core/css/font-awesome.min.css?ver=4.7.0	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/themes/responsive/core/css/font-awesome.min1849.css	(from http://localhost/)
18:08:12	97184/97184	U-----	200	untouched ('')	application/javascript	etag:%2217ba0-5657ec9adf340%22	http://localhost/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-includes/js/jquery/jqueryb8ff.js	(from http://localhost/)
18:08:12	88545/88545	---M--	200	added ('OK')	image/jpeg	etag:%22159e1-56a4749451921%22	https://bracenet.net/assets/bracenet-adriatic-sea-gold-rose-beutel-800x641.jpg	C:/Users/Pia/Desktop/MeineWeb/Plastik/bracenet.net/assets/bracenet-adriatic-sea-gold-rose-beutel-800x641.jpg	(from http://localhost/)
18:08:12	10056/10056	U-----	200	untouched ('')	application/javascript	etag:%222748-5657ec9aa7bf1%22	http://localhost/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/)
18:08:12	19080/19080	U-----	200	untouched ('')	application/javascript	etag:%224a88-568b75f2497b1%22	http://localhost/wp-content/themes/responsive/core/js/responsive-modernizr.min.js?ver=2.6.1	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/themes/responsive/core/js/responsive-modernizr.minc141.js	(from http://localhost/)
18:08:13	1045/1045	U-----	200	untouched ('')	application/xml	etag:%22415-5657ec8d5ecdd%22	http://localhost/wp-includes/wlwmanifest.xml	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-includes/wlwmanifest.xml	(from http://localhost/)
18:08:13	858007/858007	U-----	200	untouched ('')	image/jpeg	etag:%22d1797-568c6ad75512e%22	http://localhost/wp-content/uploads/2018/04/Hindergrund.jpg	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/uploads/2018/04/Hindergrund.jpg	(from http://localhost/)
18:08:16	791/791	U-----	200	untouched ('')	text/xml	date:Sat,%2028%20Apr%202018%2020:44:58%20GMT	http://localhost/xmlrpc.php?rsd	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/xmlrpc0db0.php	(from http://localhost/)
