date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:44:47	29/29	---M--	200	added ('OK')	text/plain	date:Sat,%2028%20Apr%202018%2020:44:44%20GMT	http://localhost/robots.txt		(from )
22:44:48	14827/14827	---MC-	200	added ('OK')	text/html	date:Sat,%2028%20Apr%202018%2020:44:45%20GMT	http://localhost/	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/index.html	(from )
22:44:52	45/45	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2028%20Apr%202018%2020:44:48%20GMT	http://localhost/xmlrpc.php	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/xmlrpc.php	(from http://localhost/)
22:44:52	74864/74864	---M--	200	added ('OK')	text/css	etag:%2212470-568b75f0996e3%22	http://localhost/wp-content/themes/responsive/core/css/style.css?ver=3.11	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/themes/responsive/core/css/stylea237.css	(from http://localhost/)
22:44:53	6975/6975	---M--	200	added ('OK')	text/css	etag:%221b3f-568b75f09527d%22	http://localhost/wp-content/themes/responsive/core/css/responsive.css?ver=3.11	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/themes/responsive/core/css/responsivea237.css	(from http://localhost/)
22:44:56	3279/3279	---M--	200	added ('OK')	application/rss+xml	etag:%22800aa31c15cf30f28b640933b148400c%22	http://localhost/feed/	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/feed/index.html	(from http://localhost/)
22:44:56	771/771	---M--	200	added ('OK')	application/rss+xml	etag:%22e800cda6626d21de07ab0b1c44436c95%22	http://localhost/comments/feed/	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/comments/feed/index.html	(from http://localhost/)
22:44:56	30982/30982	---M--	200	added ('OK')	text/css	etag:%227906-568b75f06ead8%22	http://localhost/wp-content/themes/responsive/core/css/font-awesome.min.css?ver=4.7.0	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/themes/responsive/core/css/font-awesome.min1849.css	(from http://localhost/)
22:44:58	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5657ec9aa7bf1%22	http://localhost/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/)
22:44:59	19080/19080	---M--	200	added ('OK')	application/javascript	etag:%224a88-568b75f2497b1%22	http://localhost/wp-content/themes/responsive/core/js/responsive-modernizr.min.js?ver=2.6.1	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/themes/responsive/core/js/responsive-modernizr.minc141.js	(from http://localhost/)
22:45:01	791/791	---M--	200	added ('OK')	text/xml	date:Sat,%2028%20Apr%202018%2020:44:58%20GMT	http://localhost/xmlrpc.php?rsd	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/xmlrpc0db0.php	(from http://localhost/)
22:45:01	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-5657ec8d5ecdd%22	http://localhost/wp-includes/wlwmanifest.xml	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-includes/wlwmanifest.xml	(from http://localhost/)
22:45:02	97184/97184	---M--	200	added ('OK')	application/javascript	etag:%2217ba0-5657ec9adf340%22	http://localhost/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-includes/js/jquery/jqueryb8ff.js	(from http://localhost/)
22:45:06	233/233	---M--	403	error ('Forbidden')	text/html	date:Sat,%2028%20Apr%202018%2020:45:02%20GMT	https://bracenet.net/wp-content/uploads/2017/04/BALTIC_SEA_BLACK_CLASP_PACKAGE.jpg	C:/Users/Pia/Desktop/MeineWeb/Plastik/bracenet.net/wp-content/uploads/2017/04/BALTIC_SEA_BLACK_CLASP_PACKAGE.b.delayed	(from http://localhost/)
22:45:09	57544/57544	---MC-	200	added ('OK')	application/json	date:Sat,%2028%20Apr%202018%2020:44:58%20GMT	http://localhost/wp-json/	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-json/index.html	(from http://localhost/)
22:45:11	20002/20002	---MC-	200	added ('OK')	text/html	date:Sat,%2028%20Apr%202018%2020:45:06%20GMT	http://localhost/plastik/	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/plastik/index.html	(from http://localhost/)
22:45:15	19463/19463	---MC-	200	added ('OK')	text/html	date:Sat,%2028%20Apr%202018%2020:45:09%20GMT	http://localhost/weiteres/	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/weiteres/index.html	(from http://localhost/)
22:45:18	47651/47651	---M--	200	added ('OK')	image/jpeg	etag:%22558d213-ba23-5609c781d044c%22	https://refill-deutschland.de/wp-content/uploads/sites/2/2017/12/app-refill-station.jpg	C:/Users/Pia/Desktop/MeineWeb/Plastik/refill-deutschland.de/wp-content/uploads/sites/2/2017/12/app-refill-station.jpg	(from http://localhost/)
22:45:22	24446/24446	---MC-	200	added ('OK')	text/html	date:Sat,%2028%20Apr%202018%2020:45:16%20GMT	http://localhost/sammelaktion/	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/sammelaktion/index.html	(from http://localhost/)
22:45:27	27699/27699	---MC-	200	added ('OK')	text/html	date:Sat,%2028%20Apr%202018%2020:45:22%20GMT	http://localhost/ergebnisse/	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/ergebnisse/index.html	(from http://localhost/)
22:45:29	8272/8272	---M--	200	added ('OK')	application/javascript	etag:%222050-568b75f253bdb%22	http://localhost/wp-content/themes/responsive/core/js/responsive-scripts.min.js?ver=1.2.6	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/themes/responsive/core/js/responsive-scripts.min578f.js	(from http://localhost/)
22:45:34	19695/19695	---MC-	200	added ('OK')	text/html	date:Sat,%2028%20Apr%202018%2020:45:29%20GMT	http://localhost/politik/	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/politik/index.html	(from http://localhost/)
22:45:35	3304/3304	---M--	200	added ('OK')	application/javascript	etag:%22ce8-568b75f240325%22	http://localhost/wp-content/themes/responsive/core/js/jquery.placeholder.min.js?ver=2.0.7	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/themes/responsive/core/js/jquery.placeholder.min5d0a.js	(from http://localhost/)
22:45:40	26305/26305	---MC-	200	added ('OK')	text/html	date:Sat,%2028%20Apr%202018%2020:45:35%20GMT	http://localhost/interview/	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/interview/index.html	(from http://localhost/)
22:45:40	1398/1398	---M--	200	added ('OK')	application/javascript	etag:%22576-5657ec986e853%22	http://localhost/wp-includes/js/wp-embed.min.js?ver=4.9.5	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-includes/js/wp-embed.min55fe.js	(from http://localhost/)
22:45:47	17405/17405	---MC-	200	added ('OK')	text/html	date:Sat,%2028%20Apr%202018%2020:45:41%20GMT	http://localhost/ueber-uns/	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/ueber-uns/index.html	(from http://localhost/)
22:45:47	60/60	---M--	200	added ('OK')	image/gif	etag:%223c-568b75f0c3d12%22	http://localhost/wp-content/themes/responsive/core/images/ie7-fix.gif	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/themes/responsive/core/images/ie7-fix.gif	(from http://localhost/wp-content/themes/responsive/core/css/style.css?ver=3.11)
22:45:48	1632/1632	---M--	200	added ('OK')	image/png	etag:%22660-568b75f29361e%22	http://localhost/wp-content/themes/responsive/images/testimonial_icon.png	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/themes/responsive/images/testimonial_icon.png	(from http://localhost/wp-content/themes/responsive/core/css/style.css?ver=3.11)
22:45:48	1484/1484	---M--	200	added ('OK')	image/png	etag:%225cc-568b75f292485%22	http://localhost/wp-content/themes/responsive/images/testimonial_icon-other.png	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/themes/responsive/images/testimonial_icon-other.png	(from http://localhost/wp-content/themes/responsive/core/css/style.css?ver=3.11)
22:46:02	85311/85311	---M--	200	added ('OK')	image/jpeg	etag:%2214d3f-568b75f0c0c37%22	http://localhost/wp-content/themes/responsive/core/images/default-contact.jpg	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/themes/responsive/core/images/default-contact.jpg	(from http://localhost/wp-content/themes/responsive/core/css/style.css?ver=3.11)
22:46:03	277/277	---M--	200	added ('OK')	image/png	etag:%22115-568b75f0ce333%22	http://localhost/wp-content/themes/responsive/core/images/select-icons.png	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/themes/responsive/core/images/select-icons.png	(from http://localhost/wp-content/themes/responsive/core/css/responsive.css?ver=3.11)
22:46:17	390151/390151	---M--	200	added ('OK')	image/jpeg	etag:%2226829f7-5f407-55e6b4518f994%22	http://healthyseas.org/assets/uploads/2014/01/HealthySeas_socks_new4_website-1160x983.jpg	C:/Users/Pia/Desktop/MeineWeb/Plastik/healthyseas.org/assets/uploads/2014/01/HealthySeas_socks_new4_website-1160x983.jpg	(from http://localhost/)
22:46:30	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-568b75f0767ec%22	http://localhost/wp-content/themes/responsive/core/css/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/themes/responsive/core/css/fonts/fontawesome-webfont3e6e.eot	(from http://localhost/wp-content/themes/responsive/core/css/font-awesome.min.css?ver=4.7.0)
